1#0101	本类似群各部分之间商品不类似；
523#1801	本类似群商品与第九版及以前版本1803商品交叉检索。

524#1802	本类似群各部分之间商品不类似；

525#1802	本类似群第一部分商品与第八版及以前版本1402贵重金属钱包，贵重金属链式网眼钱包交叉检索；

526#1802	支票夹（皮夹），护照夹（皮夹）与1611支票簿夹，护照夹类似，与第十版及以前版本1611支票夹，第九版及以前版本1611支票本(支票簿)夹交叉检索；

527#1802	皮制家具罩与2407家具罩(宽大的)，家具遮盖物，塑料家具罩，纺织品制家具罩类似；

528#1802	皮褥子，皮床单，皮凉席与2406商品类似；

529#1802	名片夹与第十版及以前版本1611已接受商品名片夹等类似商品交叉检索；

530#1802	行李牌，皮制标签与第十版及以前版本1605皮制行李标签交叉检索；

531#1802	皮制标签与第十版及以前版本1605非纺织品标签交叉检索；

532#1802	儿童牵引带与第十版及以前版本2601儿童牵引带交叉检索。

533#1806	本类似群与第八版及以前版本0615金属马镫，金属马掌，1402贵重金属马具配件，1708非金属马掌交叉检索。

534#1901	拼花地板条，木地板条，木地板与1909拼花地板，非金属地板类似。

535#1902	石板，屋顶石板片，花岗石，大理石，人造石与1906商品类似。

536#1905	水泥电杆与1909电线用非金属杆，非金属电线杆类似。

537#1906	本类似群与1902石板，屋顶石板片，花岗石，大理石，人造石类似。

538#1907	 本类似群与1705隔热耐火材料类似，与第十版及以前版本1706绝缘耐火材料交叉检索。

539#1909	本类似群各部分之间商品不类似；

540#1909	建筑用塑料管，建筑用塑料板，建筑用塑料杆，建筑用塑料条与1703塑料板，塑料杆，塑料条类似，与第十版及以前版本1703塑料管交叉检索；

541#1909	拼花地板，非金属地板与1901拼花地板条，木地板条，木地板类似，与第十版及以前版本1901地板条交叉检索；

542#1909	4、非金属地板，塑料地板，橡胶地板与第九版及以前版本2703塑料或橡胶地板块，塑料或橡胶地板革，塑料或橡胶地板砖类似；

543#1909	电线用非金属杆，非金属电线杆与1905水泥电杆类似；

544#1909	铝塑复合管与第八版及以前版本0603铝塑复合管（以铝为主），1703铝塑复合管交叉检索；

545#1909	塑钢门窗与0603金属门，金属固定百叶窗，金属制室外百叶帘，金属百叶窗，金属大门，金属竖铰链窗，金属窗等金属制门窗类似，与第十版及以前版本0603室外金属百叶窗交叉检索；

546#1909	第（一）部分第一、二自然段与1703管道用非金属接头，软管用非金属附件，硬管用非金属附件，1704浇水软管，非金属软管，纺织材料制软管，运载工具散热器用连接软管类似，与第十一版及以前版本1703软管用非金属接头，第十版及以前版本1703塑料管，第九版及以前版本1704车辆取暖器软管，车辆水箱用连接软管交叉检索；

547#1909	非金属垫路板与第八版及以前版本2003非金属狭道板交叉检索；

548#1909	1非金属旋转栅门与第九版及以前版本0914自动旋转栅门交叉检索；

549#1909	1太阳能电池组成的非金属屋顶板与0922 太阳能电池，发电用太阳能电池板类似。

550#1910	非金属旗杆（建筑物）与第十版及以前版本2003旗杆交叉检索。

551#1911	本类似群与 2113 非建筑用彩饰玻璃，乳白玻璃，半透明玻璃，运载工具用窗玻璃（半成品），不碎玻璃，钢化玻璃类似，与第十版及以前版本2113彩饰玻璃，乳色玻璃，第九版及以前版本2113车窗玻璃（半成品）交叉检索。

552#1912	本类似群与0205商品类似。

553#2001	手推车（家具）与1206手推车类似；

554#2001	医院用病床，按摩用床与1004医用床，医用充气床类似；

555#2001	陈列架与第九版及以前版本0611金属陈列架交叉检索；

556#2001	婴儿学步车与1206婴儿车，平卧式婴儿车类似，与第十版及以前版本1206折叠式婴儿车，轻便婴儿车交叉检索；

557#2001	婴儿玩耍用携带式围栏与第八版及以前版本2003婴儿玩耍用携带式围栏交叉检索；

558#2001	本类似群商品与2012木制家具隔板，桌面，家具门类似。

559#2001	食品橱与第十版及以前版本0611金属食品柜，金属藏肉柜交叉检索。

560#2002	本类似群根据原料、用途与2101商品判断类似；

561#2002	运输物品用带盖篮，非金属筐与2005竹篮类似；

562#2002	面包师用面包筐与2101家用面包篮，面包箱类似，与第十版及以前版本2101面包篮（家用）交叉检索；

563#2002	非金属桶，非金属大桶与2106水桶，提桶类似。

564#2003	软梯与第十版及以前版本2807软梯交叉检索。

565#2003	钳工台（家具）与第十版及以前版本0612金属制钳工台交叉检索。

566#2005	竹木工艺品与2006软木工艺品类似；

567#2005	竹篮与2002运输物品用带盖篮，非金属筐类似，第十版及以前版本2001带盖的篮交叉检索;

568#2005	草工艺品，麦秆工艺品与第十版及以前版本2006麦秆工艺品交叉检索。

569#2006	软木工艺品与2005竹木工艺品类似；

570#2007	树或植物的非金属支桩与0620树或植物的金属支桩类似；

571#2007	塑料标签与第十版及以前版本1605非纺织品标签交叉检索。

572#2009	本类似群与2114第（一）部分商品类似。

573#2010	本类似群与0618商品（除手铐外）类似。

574#2012	木制家具隔板，桌面，家具门与2001商品类似。

575#2012	球形非金属把手与2014非金属门把手，门的非金属附件类似，与第九版2103球形瓷把手交叉检索，与第八版及以前版本2103瓷制门把手交叉检索。

576#2013	枕头，羽绒枕头与2406床单和枕套，枕套，装饰用枕套类似；

577#2013	软垫与第十版及以前版本1802皮垫，第八版及以前版本2407坐垫(非纸制)，纺织品垫交叉检索；

578#2013	婴儿更换尿布用垫与2406婴儿更换尿布用布单类似。

579#2014	非金属门把手，门的非金属附件与2012球形非金属把手类似，与第九版2103球形瓷把手交叉检索，与第八版及以前版本2103瓷制门把手交叉检索。

580#2014	非金属钥匙与0610金属钥匙类似，与第十版及以前版本0610钥匙交叉检索。

581#2101	纸盘，家用纸托盘与1603啤酒杯垫，纸制杯盘垫，纸制杯垫类似；与第九版及以前版本纸垫1603纸垫、桌上纸杯垫交叉检索；

582#2101	瓶与2102，2106，2111各种瓶类似；

583#2101	本类似群根据功能、用途与2002商品类似，与第八版及以前版本1402商品交叉检索；

584#2101	开塞钻(电或非电)，开瓶器(电或非电)与0810非电动开罐器类似，与第九版及以前版本0810非电动开罐头器交叉检索；

585#2101	家用面包篮，面包箱与2002面包师用面包筐类似，与第九版及以前版本2002面包筐交叉检索；

586#2101	盆(容器)，铁桶与2106水桶，提桶类似；

587#2101	本类似群第一、二自然段与2102玻璃碗，玻璃杯(容器)，彩色玻璃器皿，日用玻璃器皿(包括杯、盘、壶、缸)，2103 商品，2105商品类似，与第八版及以前版本2106非贵重金属罐，非贵重金属水瓶，非贵重金属瓶交叉检索；

588#2101	胡桃钳与第十版及以前版本0807胡桃钳，第八版及以前版本1402贵重金属轧胡桃钳交叉检索；

589#2101	方糖钳，盛葡萄酒用长柄勺与第十版及以前版本0812方糖钳，葡萄酒用长柄勺交叉检索；

590#2101	1非纸制、非纺织品制杯盘垫，非纸制、非纺织品制餐具垫与第十版及以前版本2407杯盘垫（非纸制），餐具垫（非纸制）交叉检索。

591#2102	注玻璃碗，玻璃杯(容器)，彩色玻璃器皿，日用玻璃器皿(包括杯、盘、壶、缸)    与2101第一、二自然段，2103商品，2105商品类似；

592#2102	本类似群各种瓶与2101瓶类似。

593#2103	本类似群与2101第一、二自然段，2102玻璃碗，玻璃杯（容器），彩色玻璃器皿，日用玻璃器皿（包括杯、盘、壶、缸）及2105商品类似。

594#2104	水晶画与第十版及以前版本 2006 水晶画交叉检索。

595#2105	本类似群与2101第一、二自然段，2102玻璃碗，玻璃杯（容器），彩色玻璃器皿，日用玻璃器皿（包括杯、盘、壶、缸），2103商品交叉检索；

596#2105	本类似群根据功能、用途与第八版及以前版本1402商品交叉检索；

597#2105	饮用吸管与第九版及以前版本2008饮用麦杆吸管、饮用麦管交叉检索；

598#2105	运动用饮水瓶与第十版及以前版本2106旅行饮水瓶，葫芦瓶交叉检索。

599#2106	本类似群各部分间不类似；

600#2106	便壶，痰盂与1004卧床病人用便盆，卧床病人用尿壶类似，与第九版及以前版本1004病床上用便盆，尿壶（容器）交叉检索；

601#2106	痰盂与1004医用痰盂类似；

602#2106	水桶，提桶与2101盆（容器），铁桶，2002非金属桶，非金属大桶类似；

603#2106	烛环，蜡烛架（烛台），烛台，熄烛器与第八版及以前版本1402贵重金属蜡烛架（烛台），贵重金属烛台，贵重金属熄烛器，贵重金属烛环交叉检索；

604#2106	花瓶与第八版及以前版本1402贵重金属花瓶交叉检索；

605#2106	本类似群各种瓶与2101瓶类似；

606#2106	香炉、祭祀容器与第八版及以前版本2106非金贵重金属祭祀用容器，1402贵重金属制祭祀容器交叉检索；

607#2106	花瓶、花盆、窗台花箱与2114第（二）部分商品类似。

608#2107	本类似群各部分之间商品不类似；

609#2107	排笔刷与1614排笔（文具）类似。

610#2109	牙签盒与第八版及以前版本1402贵重金属牙签盒交叉检索。

611#2110	本类似群与0306 化妆用棉签，化妆棉，唇膏盒类似，与第十版及以前版本0306 棉签（梳妆用品），第九版及以前版本0306 成套化妆用具交叉检索；

612#2110	擦皮肤用摩擦海绵与2112沐浴海绵类似；

613#2110	随身携带的粉饼盒与第八版及以前版本1402贵重金属制随身携带的粉饼盒交叉检索；

614#2110	卸妆器具与第九版及以前版本0924卸妆用电力器具交叉检索。

615#2111	本类似群各种瓶与2101瓶类似；

616#2111	茶壶保暖套与第九版及以前版本2610茶壶保暖套交叉检索；

617#2111	暖水瓶与1104电热水瓶类似。

618#2112	 家务手套，抛光用手套，园艺手套，洗车用手套与第十版及以前版本2408商品交叉检索；

619#2112	沐浴海绵与2110擦皮肤用摩擦海绵类似；

620#2112	毛球去除器（电或非电）与第十版及以前版本0810毛球修剪器，0806已接受商品毛球修剪器交叉检索；

621#2112	扫帚柄与第十版及以前版本0609金属扫帚柄，2003非金属扫帚柄交叉检索。

622#2113	非建筑用彩饰玻璃，乳白玻璃，半透明玻璃，运载工具用窗玻璃（半成品），不碎玻璃，钢化玻璃与1911商品类似。

623#2114	本类似群各部分之间商品不类似；

624#2114	本类似群第（一）部分与2009商品类似；

625#2114	本类似群第（二）部分与2106花瓶，花盆，窗台花箱类似，与第九版及以前版本2106室内养殖池（种植物用），室内培养池（种植物用），第八版及以前版本 1620 室内观赏植物园（仿自然动物和植物园），室内观赏植物（人工动物或植物园），室内水族池，水族池罩交叉检索。

626#2115	诱杀昆虫用电力装置与第九版及以前版本0924诱杀昆虫用电力装置交叉检索。

627#2202	本类似群各部分之间商品不类似，但第（一）部分伪装网与第（二）部分伪装罩类似；

628#2202	洗衣用网袋与第七版及以前版本2112洗衣袋交叉检索。

629#2203	本类似群各部分之间商品不类似。

630#2205	猪鬃与第十版及以前版本2107猪鬃交叉检索。

631#2301	跨类似群保护商品：棉线棉纱（2301，2302），绣花用线和纱（2301，2302），麻线和纱（2301，2302），椰纤维线和纱（2301，2302），丝线和纱（2301，2302），缝纫线和纱（2301，2302），细线和细纱（2301，2302），黄麻线和纱（2301，2302），亚麻线和纱（2301，2302），人造线和纱（2301，2302），纺织线和纱（2301，2302），纺织用弹性线和纱（2301，2302），毛线和粗纺毛纱（2301，2303）。

632#2302	棉线棉纱（2301，2302），绣花用线和纱（2301，2302），麻线和纱（2301，2302），椰纤维线和纱（2301，2302），丝线和纱（2301，2302），缝纫线和纱（2301，2302），细线和细纱（2301，2302），黄麻线和纱（2301，2302），亚麻线和纱（2301，2302），人造线和纱（2301，2302），纺织线和纱（2301，2302），纺织用弹性线和纱（2301，2302）；

633#2302	刺绣用金属线与第九版及以前版本2601 绣花用金属线，刺绣用金属线交叉检索。

634#2303	跨类似群保护商品:毛线和粗纺毛纱(2301，2303)。

635#2403	纺织品制墙上挂毯，纺织品制壁挂与2701商品，2704非纺织品制壁挂类似，与第十版及以前版本非纺织品制墙上挂毯，非纺织品制壁毯，第九版及以前版本非纺织品壁挂，非纺织品制墙帷，非纺织品挂毯（墙上挂帘帷）交叉检索。

636#2405	跨类似群保护商品：家庭日用纺织品（2405，2406，2407第（一）部分）

637#2406	床单和枕套，枕套，装饰用枕套与2013枕头，羽绒枕头类似；

638#2406	本类似群与1802皮褥子，皮床单，皮凉席类似；

639#2406	本类似群与第九版及以前版本2405毛巾被交叉检索；

640#2406	枕巾与第九版及以前版本2405枕巾交叉检索；

641#2406	婴儿更换尿布用布单与2013婴儿更换尿布用垫类似；

642#2406	跨类似群保护商品：家庭日用纺织品（2405，2406，2407第（一）部分）；

643#2406	睡袋与第十版及以前版本2013野营睡袋，第八版及以前版本2013睡袋交叉检索。

644#2407	本类似群各部分之间商品不类似；

645#2407	家具罩（宽大的），家具遮盖物，塑料家具罩，纺织品制家具罩与1802皮制家具罩类似，与第十版及以前版本1802 皮制家具套交叉检索。

646#2407	跨类似群保护商品：家庭日用纺织品（2405，2406，2407第（一）部分）。

647#2409	本类似群各部分之间商品不类似。

648#2501	内裤，女士内裤与0506月经内裤，卫生内裤类似，与第九版及以前版本0506 卫生衬裤，卫生紧身内裤，卫生短内裤，卫生女裤，月经短内裤交叉检索；

649#2501	童装与2502商品类似；

650#2501	莎丽服与第九版及以前版本2505莎丽服交叉检索；

651#2501	跨类似群保护商品：服装（2501，2502，2503，2504，2505） ，防水服（2501，2504）。

652#2501	服装与2513婚纱类似。

653#2502	本类似群商品与2501童装类似；

654#2502	跨类似群保护商品：服装*（2501，2502，2503，2504，2505）。

655#2503	跨类似群保护商品：服装*（2501，2502，2503，2504，2505）。

656#2504	防水服与0919防水衣类似；

657#2504	跨类似群保护商品：服装（2501，2502，2503，2504，2505），防水服（2501，2504）。

658#2505	跨类似群保护商品：服装*（2501，2502，2503，2504，2505）。

659#2507	本类似群商品与第九版及以前版本2506商品交叉检索。

660#2512	腰带，皮带（服饰用）与2603皮带扣类似。

661#2513	本类似群各部分之间商品不类似；

662#2513	本类似群第（二）部分为单一商品，各自然段间互不类似；

663#2513	婚纱与2501服装类似。

664#2601	本类似群与2602中第一自然段商品类似。

665#2602	第一自然段商品与2601商品类似。

666#2602	电和非电的发卷（非手工具）与0806烫发钳，烫发用铁夹，卷发用手工具类似，与第九版及以前版本0806卷发用手工具（非电），0924电热卷发器交叉检索。

667#2603	皮带扣与2512腰带、皮带（服饰用）类似；

668#2603	本类似群商品与第八版及以前版本1403贵重金属扣交叉检索。

669#2605	本类似群商品与第八版及以前版本1402贵重金属针，贵重金属针盒交叉检索；

670#2605	昆虫针与第十版及以前版本1611昆虫针交叉检索；

671#2605	缝针穿线器与第十一版及以前版本0808针钩穿线器，第十版及以前版本0808缝针穿线器交叉检索。。

672#2701	本类似群商品与2403纺织品制墙上挂毯，纺织品制壁挂类似，与第九版及以前版本2403纺织品挂毯（墙上挂帘帷），纺织品壁挂交叉检索。

673#2704	非纺织品制壁挂与2403纺织品制墙上挂毯，纺织品制壁挂类似，与第九版及以前版本2403纺织品挂毯（墙上挂帘帷），纺织品壁挂交叉检索。

674#2801	本类似群第一自然段商品与各部分商品均类似；

675#2801	本类似群各部分之间商品不类似；

676#2801	游戏机，自动和投币启动的游戏机，视频游戏机，带有液晶显示屏的便携式游戏机，娱乐场用视频游戏机与第九版及以前版本0908与外接显示屏或监视器连用的娱乐器具，与外接显示屏或监视器连用的游戏机，及第八版及以前版本0908与电视机连用的娱乐器具，与电视连用的游戏机交叉检索；

677#2801	自动和投币启动的游戏机与第七版及以前版本0908自动和投币启动的游戏机交叉检索；

678#2801	大积木与2802积木（玩具）类似。

679#2801	便携式游戏机屏幕专用保护膜与第十版及以前版本 1703 已接受商品便携式游戏机屏幕保护膜交叉检索。

680#2802	积木（玩具）与2801大积木类似；

681#2802	万花筒与第七版及以前版本0911万花筒交叉检索；

682#2802	五彩纸屑与第七版及以前版本1603五彩纸屑交叉检索；

683#2802	玩具风车与第十版及以前版本2801 风车交叉检索；

684#2802	木偶，牵线木偶与第十版及以前版本2801木偶，牵线木偶交叉检索。

685#2802	橡皮泥（玩具），面泥（玩具）与1620模型用聚合物制黏土类似，与第十一版及以前版本1620已接受商品橡皮泥交叉检索。

686#2803	纸牌，扑克牌与第七版及以前版本1608纸牌，扑克牌交叉检索。

687#2805	本类似群商品与2807杠铃，举重器具类似。

688#2807	本类似群各部分之间商品不类似；

689#2807	滑翔伞与1209降落伞类似；

690#2807	杠铃，举重器具与2805商品类似；

691#2807	滑板与第八版及以前版本2802滑板（玩具）交叉检索；

692#2807	毽子与第九版及以前版本2801毽子交叉检索。

693#2808	本类似群各部分之间商品不类似。

694#2809	本类似群各部分之间商品不类似；

695#2809	翼型浮袋，游泳圈，游泳浮力背心与0919 救生圈，救生衣类似，与第九版及以前版本0919洗澡或游泳用浮囊，游泳圈，游泳救生圈，游泳救生衣交叉检索。

696#2812	本类似群为单一商品，各自然段间互不类似；

697#2812	抽奖用刮刮卡与第九版及以前版本16类1605已接受商品彩票，刮刮卡等类似商品交叉检索。

698#2901	浓肉汁，牛肉清汤，牛肉清汤汤料，肉汤，肉汤浓缩汁，牛肉清汤浓缩汁与2905汤及3016调味肉汁类似。

699#2901	食用蜗牛蛋与第十版及以前版本2906食用蜗牛蛋交叉检索；

700#2902	本类似群各部分之间商品不类似；

701#2902	第（一）部分商品与第九版及以前版本3005螺旋藻（非医用营养品）类似。

702#2904	本类似群各部分之间商品不类似；

703#2904	食用花粉与3103花粉（原材料）类似；

704#2904	土豆片，油炸土豆片，低脂土豆片，低脂炸土豆片，以果蔬为主的零食小吃与第八版及以前版本3010膨化土豆片交叉检索；

705#2904	水果片，以水果为主的零食小吃，以果蔬为主的零食小吃与第八版及以前版本3010膨化水果片、蔬菜片交叉检索；

706#2904	跨类似群保护商品：以果蔬为主的零食小吃（2904第（一）部分，2911）。

707#2904	水果色拉与第十版及以前版本 2909 交叉检索；

708#2904	椰蓉，莲蓉，芝麻蓉，豆沙与第十版及以前版本3007椰茸，莲茸，芝麻茸，豆沙交叉检索。

709#2905	酱菜与3016酱菜（调味品）类似；

710#2905	番茄泥，烹调用番茄汁，番茄酱与3016番茄酱（调味品），番茄调味酱类似，与第十版及以前版本番茄酱交叉检索；

711#2905	汤与2901浓肉汁，牛肉清汤，牛肉清汤汤料，肉汤，肉汤浓缩汁，牛肉清汤浓缩汁及3016调味肉汁类似。

712#2905	蔬菜色拉与第十版及以前版本 2909 交叉检索

713#2905	加工过的甜玉米粒，速冻玉米与第十版及以前版本3007速冻玉米交叉检索；

714#2905	烹饪用米浆与第十版及以前版本3009烹饪用米浆交叉检索。

715#2907	乳清与3202乳清饮料类似；

716#2907	酸奶与3013冻酸奶（冰冻甜点）类似；

717#2907	牛奶，牛奶饮料（以牛奶为主） ，牛奶制品，白朊牛奶，蛋白质牛奶，奶粉与 0502婴儿用含乳面粉，婴儿食品，婴儿配方奶粉，婴儿奶粉类似，与第九版及以前版本 0502 蛋白牛奶，白朊牛奶交叉检索

718#2907	第三、四自然段与3001加奶可可饮料，加奶咖啡饮料，含牛奶的巧克力饮料，咖啡饮料，可可饮料，巧克力饮料，3002第（二）部分，3202商品类似，与第十版及以前版本3011豆浆，豆汁交叉检索；

719#2907	豆奶粉，豆浆精与第十版及以前版本3011豆奶粉，豆浆精，3202豆浆精交叉检索。

720#2910	果冻，食用果冻与3004果冻（糖果）类似。

721#2911	跨类似群保护商品：以果蔬为主的零食小吃（2904第（一）部分，2911）

722#2911	糖松子，糖核桃，鱼皮花生，琥珀花生，怪味豆与第十版及以前版本 3004 糖松子，糖核桃，鱼皮花生，琥珀花生，怪味豆交叉检索。

723#2913	 豆腐制品，食用面筋与第十版及以前版本3011食用面筋交叉检索。

724#2914	本类似群与第十版及以前版本1807商品交叉检索。

725#3001	 加奶可可饮料，加奶咖啡饮料，含牛奶的巧克力饮料，咖啡饮料，可可饮料，巧克力饮料与2907第三、四自然段，3002第（二）部分，3202商品类似，与第十版及以前版本2907马或骆驼乳酒（奶饮料），乳酒（牛奶饮料），3011豆浆，豆汁交叉检索；

726#3001	巧克力酱，巧克力慕斯酱与第八版及以前版本2904果仁巧克力酱交叉检索。

727#3002	本类似群各部分之间商品不类似；

728#3002	第（二）部分与3202类似；

729#3002	第（二）部分与3001加奶可可饮料，加奶咖啡饮料，含牛奶的巧克力饮料，咖啡饮料，可可饮料，巧克力饮料类似。

730#3002	第（二）部分与2907第三、四自然段类似，与第十版及以前版本2907马或骆驼乳酒（奶饮料），乳酒（牛奶饮料），3011豆浆，豆汁交叉检索。

731#3003	天然增甜剂与0113人造增甜剂（化学制剂）类似；

732#3003	跨类似群保护商品：糖（3003，3004）。

733#3004	果冻（糖果）与2910果冻，食用果冻类似；

734#3004	跨类似群保护商品：甜食（3004，3006）；糖（3003，3004）。

735#3005	本类似群与0501第（一）部分的第一、二自然段商品（人用药除外）和0502第二自然段商品类似；

736#3005	黄色糖浆与3203制饮料用糖浆，杏仁糖浆，制柠檬汁用糖浆类似。

737#3006	燕麦食品，燕麦片，燕麦粥与3008人食用的去壳谷物，麦片，薄片（谷类产品）类似与第八版及以前版本3008麦片交叉检索；

738#3006	跨类似群保护商品：甜食（3004，3006）；以谷物为主的零食小吃（3006，3010）；以米为主的零食小吃（3006，3010）；人食用小麦胚芽（3006，3008）；脆米饼（3006，3010）。

739#3007	方便米饭与3009方便面类似；

740#3008	人食用的去壳谷物，薄片（谷类产品）与3006燕麦食品，燕麦片，燕麦粥类似；

741#3008	跨类似群保护商品：人食用小麦胚芽（3006，3008）；

742#3008	大豆粉与第十版及以前版本3011豆粉交叉检索。

743#3009	方便面与3007方便米饭类似。

744#3009	可食用纸， 可食用米纸与第十版及以前版本 1609 已接受商品包装用糯米纸交叉检索

745#3010	跨类似群保护商品：以谷物为主的零食小吃（3006，3010）；以米为主的零食小吃（3006，3010）；脆米饼（3006，3010）。

746#3013	冻酸奶（冰冻甜点）与2907酸奶类似；

747#3013	果汁刨冰与3202无酒精果汁，无酒精果汁饮料，果汁，葡萄汁，柠檬水，未发酵的葡萄汁，果汁冰水（饮料），无酒精饮料，无酒精鸡尾酒，带果肉果汁饮料，酸梅汤，植物饮料，乌梅浓汁（不含酒精）等含果汁的饮料类似，与第十版及以前版本3202无酒精果茶交叉检索。

748#3014	本类似群商品与3015，3016商品类似。

749#3015	本类似群商品与3014，3016商品类似。

750#3016	酱菜（调味品）与2905酱菜类似；

751#3016	番茄酱（调味品），番茄调味酱与2905番茄泥，烹调用番茄汁，番茄酱类似；

752#3016	本类似群商品与3014，3015商品类似；

753#3016	调味肉汁与2901浓肉汁，牛肉清汤，牛肉清汤汤料，肉汤，肉汤浓缩汁，牛肉清汤浓缩汁，2905汤类似；

754#3016	除香精油外的饮料用调味品与3203饮料香精类似；

755#3016	料酒与第十版及以前版本3301料酒交叉检索；

756#3016	跨类似群保护商品：除香精油外的蛋糕用调味品（3016，3018）；除香精油外的食物用调味品（3016，3018）；除香精油外的饮料用调味品（3016，3018）。

757#3018	除香精油外的饮料用调味品与3203饮料香精类似；

758#3018	跨类似群保护商品：除香精油外的调味品（3016，3018）；除香精油外的蛋糕用调味品（3016，3018）；除香精油外的饮料用调味品（3016，3018）。

759#3019	本类似群为单一商品，各自然段间互不类似。

760#3103	花粉（原材料）与2904食用花粉类似。

761#3105	本类似群各部分之间商品不类似。

762#3106	大黄（新鲜蔬菜）与第十版及以前版本3103大黄交叉检索。

763#3106	人或动物食用的未加工藻类与第十版及以前版本3108人或动物食用海藻交叉检索。

764#3202	乳清饮料与2907乳清类似；

765#3202	本类似群与2907第三、四自然段，3001加奶可可饮料，加奶咖啡饮料，含牛奶的巧克力饮料，咖啡饮料，可可饮料，巧克力饮料，3002第(二)部分类似，与第十版及以前版本2907马或骆驼乳酒(奶饮料)，乳酒(牛奶饮料)，3011豆浆，豆汁交叉检索;

766#3202	无酒精果汁，无酒精果汁饮料，果汁，葡萄汁，柠檬水，未发酵的葡萄汁，果汁冰水(饮料)，无酒精饮料，无酒精鸡尾酒，带果肉果汁饮料，酸梅汤，植物饮料，乌梅浓汁(不含酒精)等含果汁的饮料与3013果汁刨冰类似，与第九版及以前版本3013刨冰(冰)，加果汁的碎冰(冰块)交叉检索；

767#3202	格瓦斯(无酒精饮料)与第九版及以前版本3201克瓦斯淡啤酒(无酒精饮料)类似。

768#3203	制饮料用糖浆，杏仁糖浆，制柠檬汁用糖浆与3005黄色糖浆类似；

769#3203	饮料香精与3016，3018除香精油外的饮料用调味品类似。

770#3402	本类似群与第八版及以前版本1402贵重金属雪茄烟盒，贵重金属香烟盒，贵重金属雪茄烟盒（匣），贵重金属制雪茄烟盒，贵重金属制香烟盒，贵重金属制雪茄烟烟嘴，贵重金属制香烟嘴，贵重金属烟灰缸交叉检索。

771#3403	火柴架，火柴盒与第八版及以前版本1402贵重金属火柴盒架，贵重金属火柴盒交叉检索。

772#3407	本类似群商品与第十一版及以前版本3401电子香烟，电子香烟烟液，及其他属于本类似群的已接受商品交叉检索。

773#3504	为挑选人才而进行的心理测试与第七版及以前版本4203心理测试服务交叉检索；

774#3504	表演艺术家经纪与3605经纪类似。

775#3505	本类似群服务项目与3901搬迁类似。

776#3507	商业审计，税款准备，税务申报服务，财务审计与3602税审服务类似。

777#3508	本类似群为单一服务，各自然段间互不类似；

778#3508	自动售货机出租与第七版及以前版本4227自动售货机出租，自动售货机租赁交叉检索。

779#3509	本类似群第一自然段服务于各部分服务均类似；

780#3509	本类似群各部分之间服务不类似。

781#3601	保险经纪与3605经纪类似。

782#3602	有价证券经纪，碳信用证经纪，股票经纪服务，股票和债券经纪，期货经纪与3605经纪类似；

783#3602	金融评估（保险、银行、不动产）与3604不动产估价类似；

784#3602	税审服务与3507商业审计，税款准备，税务申报服务，财务审计类似，与第十版及以前版本3507审计交叉检索；

785#3602	建筑木材的金融评估与第九版及以前版本3502建筑木材评估交叉检索；

786#3602	羊毛的金融评估与第九版及以前版本3502羊毛评估交叉检索。

787#3604	不动产估价与3602金融评估（保险、银行、不动产）类似；

788#3604	不动产经纪与3605经纪类似。

789#3605	经纪与所有类中各种经纪类似。

790#3609	典当经纪与3605经纪类似。

791#3701	建筑咨询与第九版及以前版本4217建筑咨询交叉检索；

792#3702	盖房顶与第八版及以前版本3704屋顶修复交叉检索。

793#3704	扫路机出租与第十版及以前版本3702扫路机出租交叉检索。

794#3706	本类似群各部分之间服务不类似。

795#3707	跨类似群保护服务：运载工具加润滑油服务（3707，3708，3709） ，运载工具清洗服务（3707，3708，3709） ，运载工具上光服务（3707，3708，3709） ，运载工具防锈处理服务（3707，3708，3709） ，运载工具保养服务（3707，3708，3709） ，运载工具清洁服务（3707，3708，3709） ，运载工具故障修理服务（3707，3708，3709） ，运载工具电池充电服务（3707，3708，3709）

796#3708	跨类似群保护服务：运载工具加润滑油服务（3707，3708，3709） ，运载工具清洗服务（3707，3708，3709） ，运载工具上光服务（3707，3708，3709） ，运载工具防锈处理服务（3707，3708，3709） ，运载工具保养服务（3707，3708，3709） ，运载工具清洁服务（3707，3708，3709） ，运载工具故障修理服务（3707，3708，3709） ，运载工具电池充电服务（3707，3708，3709）

797#3709	跨类似群保护服务：运载工具加润滑油服务（3707，3708，3709） ，运载工具清洗服务（3707，3708，3709） ，运载工具上光服务（3707，3708，3709） ，运载工具防锈处理服务（3707，3708，3709） ，运载工具保养服务（3707，3708，3709） ，运载工具清洁服务（3707，3708，3709） ，运载工具故障修理服务（3707，3708，3709） ，运载工具电池充电服务（3707，3708，3709）

798#3713	重新镀锡与4002镀锡类似。

